Quarter,Armenia,Belarus,Belgium,Bulgaria,Canada,Hong Kong,France,Georgia,Germany,Iran,Israel,Italy,Lithuania,Netherlands,Poland,Romania,Russia,Switzerland,Thailand,PartnerGDP,CrudeOil,NaturalGas,Remittances
1999Q1,13.19,13.11,24.00,20.26,23.22,23.34,24.47,21.07,23.98,20.50,23.57,23.38,22.25,24.08,21.81,17.42,18.69,24.33,25.26,21.28,11.79,1.90,20.98
1999Q2,21.94,20.30,25.08,22.10,24.61,24.53,24.98,24.92,24.59,28.53,24.77,24.92,26.02,24.92,23.72,22.81,22.84,24.65,23.98,24.01,16.11,2.06,23.8
1999Q3,32.94,30.72,24.39,28.52,26.05,25.61,24.60,27.22,25.41,26.72,25.43,24.13,25.95,24.55,25.04,28.56,28.47,25.15,24.68,26.93,20.65,2.32,24.91
1999Q4,31.93,35.87,26.54,29.11,26.12,26.52,25.95,26.79,26.02,24.25,26.24,27.57,25.79,26.45,29.44,31.21,30.01,25.87,26.08,27.79,23.74,2.51,26.11
2000Q1,17.11,43.60,25.49,23.13,25.58,24.97,25.92,24.64,24.97,28.22,26.10,24.96,23.89,26.02,24.92,26.51,32.07,25.85,26.60,27.22,26.67,3.03,20.23
2000Q2,23.39,60.78,26.63,25.57,27.24,25.33,26.34,24.96,25.37,38.33,27.69,26.38,26.57,26.97,26.85,32.76,35.60,26.10,25.54,29.67,26.76,3.62,24.64
2000Q3,30.33,91.86,25.70,31.45,28.56,26.67,25.90,27.07,25.96,34.60,28.94,25.48,26.96,26.45,27.69,41.22,41.66,26.58,25.94,32.72,29.84,4.24,28.61
2000Q4,33.83,105.61,27.91,32.15,28.37,27.04,27.39,29.92,26.20,31.79,28.59,28.93,27.74,28.32,31.50,46.00,42.13,26.97,27.77,33.63,29.65,5.44,28.21
2001Q1,19.59,105.68,26.34,25.78,27.50,24.79,27.04,26.54,25.70,33.52,28.21,26.45,25.21,28.17,26.59,38.82,39.75,26.79,28.10,31.41,26.07,5.46,20.5
2001Q2,25.23,130.08,27.65,28.73,28.50,25.08,27.44,29.78,26.04,44.48,28.75,27.86,28.17,28.95,28.32,48.66,43.89,27.01,27.47,34.48,26.74,4.38,27.23
2001Q3,36.12,167.69,26.43,34.48,28.97,26.20,26.91,29.61,26.71,39.73,28.86,26.57,28.74,28.00,28.78,59.71,51.44,27.10,27.40,37.59,25.28,3.26,32.55
2001Q4,38.38,164.06,28.41,34.68,28.58,26.67,28.41,31.81,27.12,36.12,27.63,29.96,29.54,29.76,32.15,66.10,51.17,27.07,28.61,37.94,19.31,2.93,38.36
2002Q1,21.21,162.73,27.14,28.58,27.62,23.98,27.82,29.71,25.85,46.02,28.52,27.06,26.26,29.22,28.14,49.70,46.86,26.61,29.86,35.48,20.92,2.78,24.14
2002Q2,26.55,203.67,28.48,31.77,29.47,24.53,28.39,32.44,26.41,59.46,29.81,28.76,30.15,30.16,29.42,63.88,52.39,26.96,29.41,39.41,25.20,3.11,30.48
2002Q3,44.16,253.99,27.38,37.79,30.66,25.92,27.88,33.98,27.37,52.61,30.33,27.81,31.38,29.26,29.80,76.50,61.83,27.14,29.63,43.42,26.94,3.11,40.76
2002Q4,46.34,243.39,29.63,37.79,30.67,26.46,29.24,35.40,27.36,53.36,29.74,31.20,31.80,30.83,33.05,85.04,62.56,27.17,31.56,44.13,26.65,3.81,41.15
2003Q1,24.34,232.88,27.93,30.48,29.88,23.68,28.74,31.87,26.05,58.33,30.04,27.99,29.19,30.14,28.88,65.05,59.45,26.73,32.86,41.29,31.33,5.02,31.15
2003Q2,33.11,283.05,29.18,34.14,30.66,22.81,28.82,37.21,26.43,73.99,29.60,29.57,32.51,30.78,30.80,81.60,64.22,27.05,31.84,45.37,26.51,4.84,44.49
2003Q3,52.03,349.48,28.06,40.66,32.05,25.12,28.60,39.65,27.53,65.66,30.39,28.92,34.10,29.77,30.97,99.53,75.37,27.43,32.53,50.26,28.38,4.43,48.48
2003Q4,55.39,342.93,30.56,40.93,31.88,26.11,30.24,42.35,27.51,62.70,29.19,32.20,35.33,31.57,34.98,112.08,76.32,27.92,34.67,51.17,29.37,4.51,53.28
2004Q1,27.87,324.41,29.38,34.44,31.02,24.40,30.01,35.66,26.77,75.75,30.63,28.87,30.93,30.88,31.82,81.52,72.75,27.72,35.35,48.27,32.12,4.75,51.09
2004Q2,39.69,389.18,30.81,38.67,32.78,24.66,30.42,42.89,27.24,95.43,30.80,31.11,35.44,31.85,33.57,101.51,82.72,28.11,35.14,54.65,35.60,5.03,55.8
2004Q3,62.99,479.49,29.80,46.00,34.45,25.96,29.78,45.43,27.93,82.52,32.28,29.87,37.45,30.76,33.99,124.77,97.50,28.18,35.93,60.63,40.52,4.92,69.61
2004Q4,63.06,459.00,32.32,45.31,34.27,27.39,31.42,49.33,28.02,82.75,31.52,33.74,39.65,32.69,39.20,140.57,102.04,28.54,38.77,62.67,42.68,5.65,126.77
2005Q1,32.38,433.14,30.62,38.62,33.15,25.49,31.04,44.27,26.80,94.38,31.49,29.65,34.54,31.89,34.16,98.16,93.30,28.31,38.96,58.01,46.24,5.96,67.56
2005Q2,48.50,503.47,32.14,44.42,34.65,26.34,31.69,49.80,27.72,117.84,32.56,31.99,40.72,33.15,36.02,119.50,105.99,29.07,38.18,65.51,50.79,6.41,58.15
2005Q3,71.62,616.41,30.92,51.89,36.56,28.29,30.78,53.50,28.45,100.72,33.83,30.82,43.87,32.11,36.33,144.00,123.77,29.48,39.73,72.56,59.98,8.28,78.68
2005Q4,75.10,597.24,33.86,52.67,36.71,29.69,32.53,57.43,28.46,106.58,34.06,34.66,46.09,34.19,40.59,161.93,127.58,29.99,42.10,74.95,56.55,9.84,135.17
2006Q1,36.25,533.47,32.17,43.01,35.24,27.63,32.29,50.01,27.99,123.29,34.73,31.13,39.65,33.96,36.37,117.70,120.04,30.19,44.15,70.00,61.03,7.82,82.9
2006Q2,59.90,615.30,33.61,50.32,36.85,27.77,33.03,59.21,28.50,147.99,35.74,33.32,46.31,35.14,38.13,142.70,132.74,30.78,42.73,78.20,68.31,7.38,84.8
2006Q3,87.19,745.26,32.47,60.00,38.36,29.74,32.30,63.98,29.52,137.92,35.60,32.02,50.79,33.97,39.28,168.82,151.51,31.26,43.31,86.45,68.79,7.36,102.51
2006Q4,86.22,725.50,35.51,60.69,38.10,31.77,34.29,70.07,29.89,136.50,35.57,35.66,52.66,36.29,45.13,196.24,154.13,31.82,45.20,88.57,59.02,7.81,184.53
2007Q1,42.84,658.23,34.08,52.47,36.87,29.69,33.91,60.22,29.65,150.89,36.10,32.74,47.44,36.16,40.55,143.88,139.30,32.10,47.15,81.32,57.23,7.87,108.49
2007Q2,69.26,752.05,35.65,59.39,38.87,30.04,34.62,72.02,29.93,184.28,37.31,34.51,56.45,37.11,42.45,176.47,159.42,32.90,45.67,92.50,66.13,7.75,116.72
2007Q3,104.41,904.57,34.23,70.55,40.64,32.96,34.09,79.93,31.03,189.60,38.61,33.26,61.63,35.95,43.18,208.13,182.16,33.38,46.68,103.50,73.50,7.25,146.43
2007Q4,103.07,896.17,37.18,72.80,40.27,35.68,35.96,87.61,31.10,178.95,39.58,36.84,62.93,38.39,50.21,244.76,200.60,33.91,50.00,110.09,87.61,8.20,245.26
2008Q1,51.71,868.34,35.31,59.39,38.69,32.56,35.31,74.01,30.56,197.29,39.02,33.54,56.38,38.04,44.89,182.16,185.14,33.86,51.12,101.91,95.31,9.76,138.63
2008Q2,79.62,"1,022.58",37.09,70.12,40.88,31.84,35.96,87.23,31.15,251.45,39.82,35.50,66.73,39.11,46.24,225.45,214.16,34.80,51.05,117.97,120.97,11.87,157.16
2008Q3,126.79,"1,271.21",35.33,81.77,43.94,33.92,34.94,83.81,31.58,203.19,40.52,33.86,68.77,37.80,46.67,267.25,243.71,34.94,51.45,128.04,115.68,11.83,190.38
2008Q4,103.97,"1,127.05",37.23,81.29,41.04,34.46,36.00,91.45,30.77,185.21,40.61,36.37,65.32,39.34,53.21,294.96,225.32,34.27,49.04,121.75,56.00,11.07,221.44
2009Q1,50.11,964.44,34.57,62.39,37.24,30.25,34.24,70.05,28.96,193.82,40.80,32.06,50.31,37.23,47.69,182.09,173.76,33.22,49.25,98.98,44.11,8.26,99.74
2009Q2,66.91,"1,090.91",35.64,73.46,38.00,30.85,34.51,75.42,29.15,233.63,42.35,33.53,55.58,37.54,49.08,222.10,194.67,33.57,48.91,110.76,59.19,5.94,108.14
2009Q3,99.48,"1,375.45",34.82,78.98,40.42,32.76,33.82,80.98,30.40,232.63,42.82,32.89,53.69,36.16,50.14,254.57,220.53,34.16,50.01,122.72,68.21,5.04,119.26
2009Q4,102.31,"1,264.88",37.78,78.67,40.38,35.17,35.64,90.84,30.64,231.81,42.43,35.74,52.30,38.03,56.89,289.96,230.03,34.35,53.47,126.24,75.50,6.08,171.68
2010Q1,55.24,"1,087.52",35.63,60.64,38.90,32.88,34.80,76.27,30.03,236.74,43.22,32.38,49.45,37.03,49.26,183.08,206.68,34.17,57.43,112.35,77.06,6.99,103.92
2010Q2,74.67,"1,296.39",37.68,72.79,40.48,32.10,35.64,89.48,30.72,279.31,45.13,34.31,56.03,38.72,51.93,224.16,231.38,34.89,55.37,127.27,78.18,5.91,109.57
2010Q3,106.43,"1,652.53",36.51,81.79,42.78,35.52,35.13,94.60,31.99,286.85,45.72,33.63,57.72,37.29,53.03,260.91,252.95,35.17,55.46,139.65,75.51,6.27,130.79
2010Q4,114.80,"1,596.92",39.67,85.45,43.31,37.63,36.84,105.58,32.21,309.23,46.35,36.60,57.29,39.34,60.43,284.00,277.78,35.57,57.39,149.56,85.42,6.17,188.38
2011Q1,62.12,"1,540.16",37.56,69.62,41.43,36.04,36.30,91.28,32.11,357.52,46.58,33.40,54.35,38.20,53.43,199.77,265.48,35.33,61.80,142.78,99.75,6.81,119.16
2011Q2,82.82,"2,135.48",39.10,81.57,42.97,35.51,36.87,103.72,32.25,381.00,47.65,35.28,62.75,39.41,56.09,234.46,296.58,35.83,58.69,161.92,110.05,7.34,138.03
2011Q3,116.35,"2,845.91",37.71,89.36,45.80,38.53,36.05,111.01,33.37,353.86,49.01,34.39,65.70,37.89,57.47,277.82,324.82,35.66,59.55,177.95,103.07,7.50,164.75
2011Q4,122.09,"3,631.95",40.85,84.21,46.00,40.35,37.70,123.45,33.18,372.57,50.08,36.66,63.22,39.55,65.72,295.97,350.85,35.83,56.02,195.02,103.16,7.37,220.37
2012Q1,66.87,"3,510.22",38.67,68.16,42.98,37.61,37.03,100.02,33.06,359.87,49.30,33.33,58.87,38.36,56.40,206.40,307.57,35.62,61.94,174.77,112.52,6.98,135.77
2012Q2,89.93,"4,544.11",40.04,81.22,44.39,36.86,37.29,114.40,32.84,424.14,50.76,34.60,65.46,39.68,59.17,252.50,334.19,35.86,61.98,199.45,102.83,6.90,146.27
2012Q3,123.55,"4,889.97",38.41,90.66,47.04,40.73,36.58,120.28,33.96,430.63,52.35,33.75,70.51,37.76,59.67,293.73,362.84,36.05,63.22,213.81,102.77,7.00,172.71
2012Q4,125.63,"5,152.75",41.54,89.86,47.06,43.21,38.20,126.92,33.71,466.89,52.52,35.98,67.50,39.86,66.78,317.57,384.01,36.30,66.63,225.42,101.93,7.57,230.4
2013Q1,79.58,"4,527.88",38.79,69.38,44.00,39.63,37.22,101.91,33.20,514.02,52.04,32.60,60.56,38.48,56.71,218.77,328.24,35.82,67.16,198.93,105.09,7.66,150.32
2013Q2,99.27,"5,410.45",40.54,80.04,45.72,38.29,37.90,115.45,33.82,619.43,54.98,34.22,68.93,40.08,59.71,266.82,354.35,36.72,64.95,223.94,99.32,8.19,171.75
2013Q3,138.32,"6,138.03",38.91,88.36,49.76,42.85,37.18,120.58,35.02,574.39,55.29,33.94,74.84,38.50,60.54,315.83,388.54,36.95,66.23,241.01,107.39,7.53,200.57
2013Q4,145.13,"6,087.83",42.41,91.43,49.43,45.51,38.82,135.68,34.83,567.33,56.03,36.16,70.68,40.40,69.14,343.97,407.51,37.04,68.30,248.17,104.51,7.64,263.24
2014Q1,82.70,"5,508.99",39.61,67.81,46.41,41.67,37.88,111.06,34.85,633.34,55.78,33.32,64.40,39.20,59.32,233.35,358.99,36.63,68.26,224.61,103.65,8.22,161.38
2014Q2,104.58,"6,320.45",41.16,80.90,48.56,40.92,38.28,126.47,34.99,741.81,56.68,34.51,72.42,40.50,62.09,282.54,393.45,37.17,67.22,251.83,106.32,7.41,170.04
2014Q3,146.48,"7,480.36",39.87,93.53,52.10,45.16,37.78,133.44,36.22,658.43,57.17,34.12,77.85,39.07,63.10,331.88,430.21,37.57,68.58,272.52,100.38,6.58,191.13
2014Q4,156.23,"7,319.17",43.17,94.56,51.06,47.99,39.50,143.27,36.26,604.26,59.36,36.45,73.00,41.33,70.92,357.34,459.39,37.81,72.18,278.13,74.59,6.63,190.09
2015Q1,89.26,"6,550.33",40.40,72.83,47.03,44.49,38.74,121.31,35.97,635.08,59.11,33.59,64.76,39.70,61.71,252.28,386.30,37.05,71.37,244.66,51.57,5.74,87.51
2015Q2,112.16,"7,137.34",42.35,88.20,48.67,43.99,39.16,137.80,36.35,727.00,60.01,35.18,73.84,41.83,64.46,293.87,408.33,37.52,70.40,265.75,60.45,4.72,125.21
2015Q3,154.64,"8,104.56",41.02,96.01,52.01,47.77,38.62,146.16,37.56,625.78,60.03,34.91,79.85,40.65,65.31,355.92,458.53,37.76,72.93,287.07,48.77,4.59,113.31
2015Q4,155.76,"7,920.19",44.52,99.14,50.90,50.24,40.40,154.93,37.77,626.32,61.95,37.30,76.02,42.32,75.76,382.36,476.56,37.90,77.87,292.38,42.21,3.82,139.92
2016Q1,91.46,"6,980.07",41.38,78.31,47.50,45.92,39.53,132.15,37.31,668.75,61.67,34.67,67.34,40.89,63.85,265.84,389.87,37.22,77.24,253.93,32.72,3.04,81.72
2016Q2,115.40,"7,618.14",44.06,91.25,49.11,45.49,39.90,144.25,38.22,817.73,62.29,36.16,76.55,42.91,66.81,324.99,423.31,38.25,75.48,281.21,44.79,3.24,97.15
2016Q3,154.59,"8,499.87",42.43,102.84,53.09,49.48,38.88,155.39,38.74,740.89,64.33,35.55,82.25,41.53,67.51,376.31,460.74,38.16,77.89,299.97,44.68,3.59,108.18
2016Q4,154.05,"8,279.64",46.01,106.12,52.95,52.80,40.75,166.63,38.76,784.66,64.93,37.81,79.47,43.54,77.85,416.03,492.29,38.01,81.12,311.42,49.06,4.25,140.02